name,position,height/m,nationality,injury_history,apparence
Héctor Fort,Right-Back,1.85,Spain,"[-1, 11, 31, 18]","(55, 3250)"
Marc Casadó,Defensive Midfield,1.72,Spain,"[-1, 56]","(116, 8830)"
Marc Bernal,Defensive Midfield,1.91,Spain,"[-1, 308]","(39, 2792)"
Pedri,Central Midfield,1.74,Spain,"[-1, 12, 3, 103, -7, 8, 94, 78, 232, 65, 23, 47, 55, 72, 45, 24, 54, 35, 90, 42, 162, 3]","(239, 17487)"
Gavi,Central Midfield,1.73,Spain,"[-1, 27, 117, 10, 137, 10, 682, 316, 1, 19, 107, 6]","(156, 9606)"
Frenkie de Jong,Central Midfield,1.81,Netherlands,"[-1, 127, -126, 127, -77, 78, 87, 12, 619, 26, 388, 12, 70, 8, 66, 5, 255, 17, 163, 33, 156, 62, 17, 5, 80, 36, 14, 163, 48, 3, 116, 3]","(420, 31752)"
Dani Olmo,Attacking Midfield,1.79,Spain,"[-1, 40, 24, 40, 7, 11, 56, 8, 168, 50, 100, 36, 189, 38, 13, 54, 142, 22, 107, 32, 94, 19, 49, 20]","(348, 22628)"
Fermín López,Attacking Midfield,1.74,Spain,"[-1, 15, 1, 30]","(132, 7075)"
Pablo Torre,Attacking Midfield,1.73,Spain,"[-1, 8, 221, 8, 225, 31, 311, 4, 257, 6, 285, 11]","(119, 5676)"
Raphinha,Left Winger,1.76,Brazil,"[-1, 17, 229, 64, 107, 7, 187, 8, 107, 3, 262, 12, 496, 15, 548, 28, 77, 30, 27, 3]","(390, 27388)"
Ansu Fati,Left Winger,1.78,Spain,"[-1, 9, 61, 5, 10, 11, 257, 8, 51, 306, 1, 15, 33, 6, 6, 66, 10, 67, 1, 32, 301, 7, 268, 70, 173, 55, 58, 29]","(159, 6260)"
Lamine Yamal,Right Winger,1.8,Spain,"[-1, 32, 410, 11, 141, 3, 217, 6, 20, 23, 17, 21]","(115, 7814)"
Ferran Torres,Centre-Forward,1.84,Spain,"[-1, 6, 819, 12, 275, 89, -7, 8, 752, 58, 192, 54, 166, 15]","(310, 16522)"
Robert Lewandowski,Centre-Forward,1.85,Poland,"[-1, 11, 280, 15, 119, 5, -4, 5, -4, 5, -4, 5, -4, 5, 136, 5, 567, 8, 196, 4, 7, 8, 46, 15, 56, 1, 649, 27, 41, 29, 219, 3, 148, 24, 125, 2, 551, 13, 208, 23, 228, 11, 142, 11, 150, 17]","(823, 67322)"
Pau Víctor,Centre-Forward,1.84,Spain,[-1],"(118, 7148)"
Jan Oblak,Goalkeeper,1.88,Slovenia,"[-1, 4, 14, 68, 357, 4, 18, 4, 5, 5, -2, 1, 1412, 8, 448, 93]","(603, 54444)"
Juan Musso,Goalkeeper,1.91,Argentina,"[-1, 37, 780, 20, 427, 7, 254, 36, 64, 15]","(248, 22137)"
Robin Le Normand,Centre-Back,1.87,Spain,"[-1, 6, 828, 3, 155, 3, 340, 35, 153, 2, 434, 7, 130, 61]","(348, 29046)"
José María Giménez,Centre-Back,1.85,Uruguay,"[-1, 22, 368, 4, 245, 15, 53, 4, 67, 32, 158, 32, 95, 11, 81, 8, 129, 5, 84, 15, 14, 4, 74, 15, 73, 8, 98, 15, 3, 13, 5, 30, 4, 25, 108, 32, 154, 48, 27, 6, 3, 29, 19, 5, 126, 6, 70, 15, 1, 17, 41, 21, 51, 5, 6, 19, 212, 10, 49, 26, 41, 6, 47, 27, 42, 22, 37, 13, 21, 20, 107, 16, 123, 107, 19, 24, 94, 21, 4, 38, 267, 31]","(372, 29726)"
Clément Lenglet,Centre-Back,1.86,France,"[-1, 7, 996, 5, 620, 8, 135, 6, 3, 4, 27, 24, 165, 9, 794, 13]","(413, 33128)"
Axel Witsel,Centre-Back,1.86,Belgium,"[-1, 15, 2261, 4, 88, 15, 157, 15, 88, 25, 130, 15, 231, 155, 311, 8, 782, 13]","(733, 59735)"
César Azpilicueta,Centre-Back,1.78,Spain,"[-1, 170, 3144, 3, 220, 44, 532, 8, 4, 6, 24, 4, 313, 21, 315, 52, 196, 46]","(745, 60921)"
Reinildo Mandava,Left-Back,1.8,Mozambique,"[-1, 3, 461, 274]","(256, 18496)"
Javi Galán,Left-Back,1.72,Spain,"[-1, 13, 7, 8]","(332, 26161)"
Nahuel Molina,Right-Back,1.75,Argentina,"[-1, 25, 70, 34, 628, 4, 450, 9, 548, 26, 261, 38, 160, 19]","(267, 19454)"
Pablo Barrios,Central Midfield,1.81,Spain,"[-1, 32, 40, 52, 49, 4, 65, 41, 76, 28, 15, 14]","(124, 7804)"
Conor Gallagher,Central Midfield,1.82,England,"[-1, 5]","(352, 24563)"
Rodrigo De Paul,Central Midfield,1.8,Argentina,"[-1, 18]","(484, 33193)"
Koke,Central Midfield,1.76,Spain,"[-1, 8, 7, 25, 200, 25, 228, 5, 499, 34, 43, 7, 296, 26, 59, 30, 303, 20, 4, 29, 588, 7, 98, 7, 48, 17, 222, 22, 280, 39, 513, 45]","(747, 57419)"
Marcos Llorente,Right Midfield,1.84,Spain,"[-1, 4, 351, 21, 17, 40, 930, 16, 4, 115, -112, 16, 42, 15, 12, 28, 416, 119, 431, 32]","(395, 29254)"
Thomas Lemar,Attacking Midfield,1.71,France,"[-1, 43, 53, 15, 196, 22, 364, 11, 42, 35, 48, 12, 275, 18, 20, 22, 88, 19, 154, 8, 97, 31, 19, 20, 336, 12, 51, 13, 16, 26, 105, 13, 27, 27, 90, 5, 15, 24, 17, 33, 105, 4, 377, 244, 92, 42, 31, 43]","(404, 23631)"
Samuel Lino,Left Winger,1.77,Brazil,"[-1, 14, 1068, 15]","(232, 14617)"
Rodrigo Riquelme,Left Winger,1.74,Spain,[-1],"(209, 10637)"
Giuliano Simeone,Right Winger,1.73,Argentina,"[-1, 147]","(116, 7456)"
Ángel Correa,Right Winger,1.71,Argentina,"[-1, 201, 306, 4, 1737, 15, -14, 15, 565, 6, 519, 11, 32, 5]","(530, 27373)"
Julián Alvarez,Centre-Forward,1.7,Argentina,"[-1, 3]","(279, 17635)"
Alexander Sørloth,Centre-Forward,1.95,Norway,"[-1, 12, 979, 10, 1020, 14, 29, 23, 84, 3, 194, 10, 81, 9, 17, 5, 360, 25, 405, 9]","(420, 25052)"
Antoine Griezmann,Centre-Forward,1.76,France,"[-1, 8, 1464, 4, 385, 8, 942, 22, 497, 25, -7, 8, 0, 47, 730, 21]","(746, 56357)"
Álex Remiro,Goalkeeper,1.91,Spain,"[-1, 8, 608, 31]","(371, 33391)"
Unai Marrero,Goalkeeper,1.89,Spain,[-1],"(73, 6553)"
Nayef Aguerd,Centre-Back,1.9,Morocco,"[-1, 47, 66, 16, 41, 12, 157, 82, 301, 15, 378, 8, 108, 5, 91, 99, 3, 5, 200, 7, 208, 11]","(296, 25051)"
Igor Zubeldia,Centre-Back,1.81,Spain,"[-1, 32, 35, 8, 205, 11, 339, 12, 636, 6, 109, 99, 71, 17, 309, 12, 574, 58, 38, 21, 222, 31]","(353, 27445)"
Jon Pacheco,Centre-Back,1.84,Spain,"[-1, 25, 462, 36, 252, 7, 462, 54]","(131, 8910)"
Aritz Elustondo,Centre-Back,1.8,Spain,"[-1, 9, 585, 19, 186, 15, 3, 15, 40, 26, 71, 11, 91, 32, 32, 22, 56, 27, 169, 5, 927, 60, 114, 41, 14, 11, 88, 12, 22, 51, 164, 20]","(352, 26133)"
Jon Martín,Centre-Back,1.87,Spain,[-1],"(50, 3964)"
Javi López,Left-Back,1.83,Spain,"[-1, 65, 69, 20, 745, 20]","(147, 9002)"
Aihen Muñoz,Left-Back,1.75,Spain,"[-1, 32, 1059, 57, 405, 209]","(213, 15111)"
Jon Aramburu,Right-Back,1.76,Venezuela,[-1],"(187, 12906)"
Hamari Traoré,Right-Back,1.75,Mali,"[-1, 40, 240, 6, 164, 21, 113, 181]","(428, 35950)"
Álvaro Odriozola,Right-Back,1.76,Spain,"[-1, 15, 348, 17, 117, 5, 100, 6, 140, 73, 461, 64, 64, 21, 13, 22, 120, 11, 204, 9, 20, 18, 13, 18, 108, 13, 381, 9, 13, 12, 75, 13, 8, 59, 137, 18, 208, 32]","(254, 17650)"
Martín Zubimendi,Defensive Midfield,1.81,Spain,"[-1, 22, 392, 6, 262, 10, 540, 7, 100, 34]","(286, 21488)"
Luka Sucic,Central Midfield,1.85,Croatia,"[-1, 22, 120, 7, 7, 5, 167, 9, 14, 4, 182, 12, 39, 3, 132, 195, 22, 3, 36, 6, 104, 29, 116, 9]","(227, 15110)"
Beñat Turrientes,Central Midfield,1.81,Spain,"[-1, 40, 395, 12]","(134, 7127)"
Jon Ander Olasagasti,Central Midfield,1.76,Spain,[-1],"(150, 9569)"
Brais Méndez,Attacking Midfield,1.84,Spain,"[-1, 23, 891, 13, 566, 19, 202, 10, 99, 30, 323, 26]","(363, 24413)"
Arsen Zakharyan,Attacking Midfield,1.83,Russia,"[-1, 11, 159, 13, 122, 13, 172, 7, 230, 11, 120, 11, 80, 13, 27, 6, 31, 12, 82, 7, 51, 153, 54, 6, 28, 49]","(165, 11267)"
Pablo Marín,Attacking Midfield,1.78,Spain,[-1],"(127, 8277)"
Ander Barrenetxea,Left Winger,1.75,Spain,"[-1, 15, 8, 32, 142, 17, 108, 23, 432, 49, 66, 169, 82, 35, 6, 74, 26, 8, 303, 29, 18, 16, 22, 10, 2, 24, 143, 13]","(208, 9232)"
Sheraldo Becker,Left Winger,1.8,Suriname,"[-1, 24, 92, 60, 192, 27, 6, 30, 38, 38, 704, 76, 530, 6, 113, 8, 1, 5, 75, 38, 1, 8, 208, 6, 5, 49, 0, 58, 79, 20, 141, 7, 593, 19, 69, 19, 55, 20, 386, 32]","(375, 24707)"
Arkaitz Mariezkurrena,Left Winger,,Spain,[-1],"(91, 4719)"
Takefusa Kubo,Right Winger,1.73,Japan,"[-1, 6, 887, 63, 339, 7]","(311, 19491)"
Sergio Gómez,Left Winger,1.71,Spain,"[-1, 34, 457, 11]","(236, 13995)"
Mikel Oyarzabal,Centre-Forward,1.81,Spain,"[-1, 5, 278, 18, 395, 9, 671, 10, 85, 25, 291, 36, 118, 281, 329, 10, 10, 6, 55, 15]","(410, 29894)"
Orri Óskarsson,Centre-Forward,1.86,Iceland,[-1],"(170, 9435)"
Unai Simón,Goalkeeper,1.9,Spain,"[-1, 28, 686, 13, 198, 30, 198, 32, 476, 124]","(279, 25031)"
Julen Agirrezabala,Goalkeeper,1.87,Spain,"[-1, 34, 110, 40, 11, 15, 657, 39]","(107, 9508)"
Dani Vivian,Centre-Back,1.84,Spain,"[-1, 49, 1, 22, 253, 27, 484, 8, 78, 9, 301, 31]","(229, 19075)"
Aitor Paredes,Centre-Back,1.85,Spain,"[-1, 32, 778, 6, 286, 15, 196, 11]","(149, 11959)"
Yeray Álvarez,Centre-Back,1.82,Spain,"[-1, 8, 56, 29, 67, 8, 70, 197, 81, 29, 207, 22, 149, 8, 431, 10, 72, 17, 80, 12, 88, 9, 2, 10, 10, 9, 70, 69, 109, 15, 97, 6, 119, 6, 230, 11, 3, 36, 42, 47, 22, 98, 80, 15, 150, 26]","(325, 27122)"
Unai Núñez,Centre-Back,1.86,Spain,"[-1, 27, 66, 7, 3, 12, 110, 5]","(246, 20406)"
Adama Boiro,Left-Back,1.83,Spain,[-1],"(100, 5629)"
Yuri Berchiche,Left-Back,1.81,Spain,"[-1, 22, 1084, 22, 107, 5, 150, 6, 87, 11, 79, 13, 3, 6, 38, 4, 30, 9, 2, 243, 1, 27, 227, 52, 231, 82, 59, 39, 88, 12, 3, 17, 24, 21, 133, 6, 193, 13]","(494, 40768)"
Andoni Gorosabel,Right-Back,1.74,Spain,"[-1, 122, 566, 26, 675, 9, 99, 38]","(272, 19301)"
Iñigo Lekue,Right-Back,1.8,Spain,"[-1, 19, 730, 206, 145, 44, 833, 7, 78, 36, 312, 56, 276, 6, 15, 7]","(329, 21464)"
Óscar de Marcos,Right-Back,1.82,Spain,"[-1, 10, 526, 11, 7, 46, 89, 6, 22, 11, 12, 68, 42, 15, 164, 93, 6, 5, 2, 7, 30, 32, 433, 8, 124, 32, 56, 183, 170, 16, 278, 15, -14, 15, 71, 9, 55, 10, 9, 8, 81, 6, 464, 27, 91, 17, 18, 6, 202, 12]","(594, 43922)"
Mikel Vesga,Defensive Midfield,1.91,Spain,"[-1, 14, 277, 22, 1752, 12, 372, 22, 39, 15, 35, 5, 255, 18]","(366, 24294)"
Mikel Jauregizar,Central Midfield,1.77,Spain,[-1],"(84, 5595)"
Beñat Prados,Central Midfield,1.8,Spain,"[-1, 16, 906, 9]","(191, 12299)"
Iñigo Ruiz de Galarreta,Central Midfield,1.75,Spain,"[-1, 244, 128, 218, 861, 24, 329, 40, 113, 28, 6, 18, 215, 9, 28, 42, 321, 36, 30, 61, 669, 188, 139, 6, 248, 26, 57, 18, 23, 9, 88, 17, 90, 29, 111, 9]","(407, 28622)"
Oihan Sancet,Attacking Midfield,1.88,Spain,"[-1, 182, 912, 33, 113, 17, 73, 34, 707, 24, 1, 5, 121, 7, 6, 18, 58, 36, 31, 34]","(218, 12961)"
Unai Gómez,Attacking Midfield,1.83,Spain,"[-1, 7, 116, 4]","(116, 5622)"
Peio Canales,Attacking Midfield,1.75,Spain,"[-1, 15]","(53, 3048)"
Nico Williams,Left Winger,1.81,Spain,"[-1, 21, 81, 8, 277, 5, 88, 5, 5, 15, 86, 17, 12, 9, 11, 6, 90, 15, 43, 3, 43, 5, 99, 3, 24, 6, 9, 13, 57, 3, 48, 18, 9, 3, 49, 4, 12, 17]","(194, 13102)"
Álex Berenguer,Left Winger,1.75,Spain,"[-1, 45, 172, 22, 20, 13, 349, 6, 13, 8, 530, 10, 784, 10, 755, 14, 282, 7]","(403, 23472)"
Álvaro Djaló,Left Winger,1.75,Spain,"[-1, 6, 5, 17, 216, 20, 261, 14]","(155, 7161)"
Iñaki Williams,Right Winger,1.86,Ghana,"[-1, 32, 0, 36, 151, 29, 21, 10, 2473, 13, 117, 15, 228, 4, 106, 11]","(503, 37435)"
Gorka Guruzeta,Centre-Forward,1.88,Spain,"[-1, 184, 1532, 4, 30, 9, 80, 26]","(311, 19400)"
Maroan Sannadi,Centre-Forward,1.92,Morocco,[-1],"(103, 5919)"
Diego Conde,Goalkeeper,1.88,Spain,"[-1, 43]","(110, 9703)"
Luiz Júnior,Goalkeeper,1.92,Brazil,[-1],"(170, 15317)"
Iker Álvarez,Goalkeeper,1.9,Andorra,"[-1, 198]","(104, 9310)"
Logan Costa,Centre-Back,1.9,Cape Verde,[-1],"(156, 13194)"
Willy Kambwala,Centre-Back,1.92,France,"[-1, 92]","(75, 5028)"
Eric Bailly,Centre-Back,1.87,Cote d'Ivoire,"[-1, 15, 73, 22, 70, 15, 165, 39, 310, 22, 11, 101, 274, 10, 4, 5, 2, 6, 103, 35, 2, 79, 9, 170, 192, 6, 85, 45, 51, 9, 5, 11, 32, 9, 6, 21, 289, 14, 210, 16, 22, 63, 290, 22, -21, 22, 11, 9, 5, 15, 59, 14, 262, 31]","(244, 17718)"
Raúl Albiol,Centre-Back,1.9,Spain,"[-1, 34, 385, 24, 704, 9, 204, 26, 820, 3, 31, 40, 323, 6, 428, 7, 57, 79, 1715, 36]","(754, 63392)"
Pau Navarro,Centre-Back,1.85,Spain,[-1],"(36, 2315)"
Sergi Cardona,Left-Back,1.86,Spain,[-1],"(178, 14482)"
Alfonso Pedraza,Left-Back,1.84,Spain,"[-1, 6, 22, 15, 485, 1, 36, 22, 15, 52, 8, 33, 199, 25, 736, 33, 48, 37, 339, 68, 47, 51, 49, 182]","(339, 21825)"
Juan Foyth,Right-Back,1.87,Argentina,"[-1, 68, 71, 13, 225, 54, 126, 175, 104, 22, 62, 11, 89, 24, 463, 68, 207, 64, 142, 163, 63, 139]","(176, 13654)"
Kiko Femenía,Right-Back,1.74,Spain,"[-1, 8, 2391, 21, 412, 3, 2, 74, 331, 48, 31, 7, 231, 4, 29, 58]","(473, 31552)"
Pape Gueye,Defensive Midfield,1.89,Senegal,[-1],"(248, 15860)"
Santi Comesaña,Central Midfield,1.88,Spain,[-1],"(330, 23290)"
Dani Parejo,Central Midfield,1.82,Spain,"[-1, 13, 803, 25, 1129, 19, 939, 13, 710, 17, 1170, 22]","(752, 57970)"
Denis Suárez,Attacking Midfield,1.76,Spain,"[-1, 70, 1017, 18, 155, 15, 704, 23, 121, 50, 208, 62, 180, 12, 10, 12, 47, 61, 66, 32, 182, 9, 957, 137, -3, 123, 72, 25, 23, 33]","(392, 23883)"
Álex Baena,Left Winger,1.74,Spain,"[-1, 8, 2275, 3, 255, 17]","(216, 14608)"
Yéremy Pino,Right Winger,1.72,Spain,"[-1, 32, 292, 21, 116, 10, 446, 65, 503, 214]","(168, 9234)"
Ilias Akhomach,Right Winger,1.75,Morocco,"[-1, 18, 108, 9, 425, 8, 653, 266]","(107, 5953)"
Tajon Buchanan,Right Winger,1.83,Canada,"[-1, 71, 202, 42, 111, 20, 31, 5, 238, 116, 44, 3, 117, 17]","(164, 9620)"
Nicolas Pépé,Right Winger,1.83,Cote d'Ivoire,"[-1, 7, 943, 5, 201, 5, 936, 47, 24, 10, 3, 123, 19, 43, 44, 16, 0, 4, 148, 3, 186, 61]","(352, 22110)"
Thierno Barry,Centre-Forward,1.95,France,[-1],"(133, 9385)"
Ayoze Pérez,Centre-Forward,1.78,Spain,"[-1, 13, 237, 2, 1, 23, 678, 20, 350, 44, 112, 9, 90, 29, 23, 18, 17, 25, 124, 36]","(451, 28823)"
Gerard Moreno,Centre-Forward,1.8,Spain,"[-1, 43, 1225, 11, 557, 22, 80, 12, 266, 36, 70, 36, 35, 15, 133, 54, 145, 33, 488, 78, 81, 33]","(476, 34002)"
Giorgi Mamardashvili,Goalkeeper,1.97,Georgia,"[-1, 22]","(201, 17972)"
Stole Dimitrievski,Goalkeeper,1.88,North Macedonia,"[-1, 13]","(373, 33492)"
Jaume Doménech,Goalkeeper,1.85,Spain,"[-1, 4, 7, 15, 1234, 222, 384, 93]","(179, 15975)"
Cristhian Mosquera,Centre-Back,1.91,Spain,[-1],"(100, 8214)"
Yarek Gasiorowski,Centre-Back,1.92,Spain,[-1],"(46, 3143)"
César Tárrega,Centre-Back,1.94,Spain,[-1],"(97, 8166)"
Mouctar Diakhaby,Centre-Back,1.92,Guinea,"[-1, 25, 997, 34, 200, 8, 50, 23, 44, 49, 45, 29, 607, 22, 323, 54, 27, 51, 24, 326]","(277, 21146)"
José Gayà,Left-Back,1.72,Spain,"[-1, 9, 2, 13, 158, 24, 65, 32, 61, 28, 4, 106, 82, 19, 50, 12, 36, 6, 2, 6, 34, 26, 248, 5, 296, 6, 90, 7, 229, 31, 121, 8, 122, 43, 94, 5, 8, 24, 270, 33, 143, 15, 242, 13, 302, 21, 39, 40, 73, 52, 12, 120, 84, 25]","(441, 36231)"
Jesús Vázquez,Left-Back,1.82,Spain,"[-1, 31, 191, 32]","(107, 6152)"
Max Aarons,Right-Back,1.77,England,"[-1, 17, 1507, 44, 28, 59]","(302, 25010)"
Thierry Correia,Right-Back,1.76,Portugal,"[-1, 16, 104, 96, 12, 6, 38, 31, 299, 40, 47, 21, 153, 7, 113, 32, 245, 248]","(156, 11563)"
Dimitri Foulquier,Right-Back,1.83,Guadeloupe,"[-1, 63, 13, 40, 47, 8, 32, 15, 136, 37, 542, 27, 437, 49, 56, 25, 393, 27, 599, 32]","(380, 26130)"
Pepelu,Defensive Midfield,1.86,Spain,"[-1, 9]","(347, 26127)"
Enzo Barrenechea,Defensive Midfield,1.86,Argentina,"[-1, 18, 390, 9, 72, 269, 27, 6, 32, 11]","(153, 10764)"
Hugo Guillamón,Defensive Midfield,1.78,Spain,[-1],"(212, 14581)"
Javi Guerra,Central Midfield,1.87,Spain,[-1],"(115, 8180)"
André Almeida,Attacking Midfield,1.76,Portugal,"[-1, 12, 937, 9, 56, 11, 53, 15, 546, 141]","(206, 12210)"
Iván Jaime,Attacking Midfield,1.8,Spain,"[-1, 7, 183, 252]","(171, 9794)"
Martín Tejón,Attacking Midfield,1.65,Spain,[-1],"(82, 4781)"
Luis Rioja,Left Winger,1.76,Spain,[-1],"(414, 29131)"
Sergi Canós,Left Winger,1.77,Spain,"[-1, 36, 209, 30, 139, 41, 86, 15, 472, 8]","(348, 18772)"
Diego López,Right Winger,1.72,Spain,"[-1, 26]","(113, 7194)"
Fran Pérez,Right Winger,1.76,Spain,"[-1, 23]","(111, 4920)"
Hugo Duro,Centre-Forward,1.77,Spain,"[-1, 20, 34, 22, 95, 29]","(224, 14337)"
Umar Sadiq,Centre-Forward,1.91,Nigeria,"[-1, 33, 31, 19, 3, 64, 1134, 50, 872, 292, 195, 6, 129, 8]","(309, 20829)"
Rafa Mir,Centre-Forward,1.91,Spain,"[-1, 16, 909, 69]","(306, 16930)"
Paulo Gazzaniga,Goalkeeper,1.95,Argentina,"[-1, 20]","(288, 25854)"
Vladyslav Krapyvtsov,Goalkeeper,1.88,Ukraine,[-1],"(2, 180)"
Juan Carlos,Goalkeeper,1.87,Spain,"[-1, 44, 1328, 12]","(364, 32749)"
Ladislav Krejci,Centre-Back,1.91,Czech Republic,"[-1, 41, 118, 11, 201, 6, 207, 58, 45, 92, 106, 12, 100, 12, 18, 92, 10, 96, 256, 3, 18, 39, 350, 14]","(256, 20571)"
David López,Centre-Back,1.95,Spain,[-1],"(59, 4576)"
Daley Blind,Centre-Back,1.8,Netherlands,"[-1, 17, 433, 52, 93, 15, 997, 90, 607, 56, 200, 15, 92, 3, 82, 13, 15, 68, 1213, 22]","(580, 47746)"
Juanpe,Centre-Back,1.9,Spain,"[-1, 107, 1949, 63, 665, 13, 711, 43, 463, 17]","(414, 33632)"
Miguel Gutiérrez,Left-Back,1.8,Spain,"[-1, 55]","(169, 13182)"
Arnau Martínez,Right-Back,1.82,Spain,[-1],"(162, 12947)"
Alejandro Francés,Right-Back,1.82,Spain,"[-1, 23]","(155, 12746)"
Arthur Melo,Defensive Midfield,1.72,Brazil,"[-1, 88, 272, 16, 59, 20, 74, 13, 79, 11, 68, 4, 5, 5, 12, 6, 10, 45, 47, 12, 116, 6, 3, 8, 144, 6, 48, 28, 132, 78, 91, 6, 98, 18, 15, 13, 73, 9, 48, 146, 291, 5, 46, 11, 24, 5]","(272, 16552)"
Oriol Romeu,Defensive Midfield,1.83,Spain,"[-1, 21, 95, 91, 615, 145, 277, 42, 44, 18, 371, 2, 2049, 31, 3, 5, 18, 86, 995, 8, 228, 31]","(489, 34799)"
Yangel Herrera,Central Midfield,1.84,Venezuela,"[-1, 20, 243, 131, 437, 35, 112, 14, 168, 10, 78, 12, 88, 36, 3, 120, 316, 36, 130, 96, 203, 42, 48, 44]","(274, 20202)"
Donny van de Beek,Central Midfield,1.84,Netherlands,"[-1, 33, 416, 33, 525, 15, 84, 36, 262, 12, 10, 26, 110, 52, 71, 179, 308, 62]","(365, 23576)"
Jhon Solís,Central Midfield,1.86,Colombia,"[-1, 32]","(85, 3651)"
Iván Martín,Attacking Midfield,1.78,Spain,"[-1, 92, 338, 105, 752, 28]","(229, 16278)"
Gabriel Misehouy,Attacking Midfield,1.73,Netherlands,"[-1, 24, 105, 50, 303, 43, 186, 67]","(86, 4926)"
Bryan Gil,Left Winger,1.75,Spain,"[-1, 4, 298, 25, 18, 18, 102, 11, 137, 15, 324, 65, 368, 22, 143, 103]","(203, 11010)"
Arnaut Danjuma,Left Winger,1.78,Netherlands,"[-1, 8, 21, 67, 91, 15, 154, 145, 140, 53, 81, 123, 158, 4, 4, 4, 4, 4, 574, 145, 774, 15]","(282, 16860)"
Min-su Kim,Left Winger,1.77,"Korea, South",[-1],"(12, 727)"
Viktor Tsygankov,Right Winger,1.78,Ukraine,"[-1, 31, 3, 9, 189, 14, 716, 21, 23, 4, 70, 5, 56, 11, 100, 7, 9, 22, 53, 6, 1, 9, 315, 20, 81, 6, 418, 24, 48, 30, 61, 15, 20, 13, 63, 55, 45, 47, 15, 32]","(326, 24209)"
Yáser Asprilla,Right Winger,1.76,Colombia,"[-1, 39]","(159, 9117)"
Portu,Right Winger,1.67,Spain,"[-1, 32, 259, 11, 1869, 53]","(550, 37071)"
Abel Ruiz,Centre-Forward,1.82,Spain,"[-1, 7, 96, 23, 189, 64, 151, 8, 1923, 38]","(301, 17178)"
Bojan Miovski,Centre-Forward,1.89,North Macedonia,"[-1, 30, 1332, 6]","(222, 14844)"
Cristhian Stuani,Centre-Forward,1.84,Uruguay,"[-1, 4, 1068, 5, 63, 11, 272, 16, 4, 12, 128, 6, 29, 6, 5, 15, 81, 12, 136, 3, 267, 18, 8, 31, 34, 11, 61, 12, 57, 22, 91, 7, 107, 8, 13, 6, 219, 24, 214, 7, 351, 31]","(632, 39039)"
Álvaro Fernández,Goalkeeper,1.85,Spain,[-1],"(188, 16723)"
Ørjan Nyland,Goalkeeper,1.92,Norway,"[-1, 183, 460, 122, 1009, 75, 281, 40]","(319, 28512)"
Loïc Badé,Centre-Back,1.91,France,"[-1, 16, 73, 9, 308, 84, 281, 20, 264, 37, 72, 7, 170, 13, 38, 17]","(187, 15404)"
Kike Salas,Centre-Back,1.88,Spain,"[-1, 14, 302, 32, 172, 10, 165, 6]","(122, 9037)"
Marcão,Centre-Back,1.85,Brazil,"[-1, 6, 228, 6, 167, 31, 120, 8, 397, 6, 131, 15, 110, 25, 45, 151, 19, 35, 53, 82, 11, 53, 61, 30, 144, 15]","(264, 21296)"
Tanguy Nianzou,Centre-Back,1.91,France,"[-1, 61, 34, 52, 1, 48, 250, 7, 33, 9, 281, 16, 172, 32, 72, 63, 59, 30, 24, 27, 248, 17, 10, 189]","(117, 7606)"
Ramón Martínez,Centre-Back,1.85,Spain,[-1],"(90, 6891)"
Adrià Pedrosa,Left-Back,1.72,Spain,"[-1, 29, 49, 29, 58, 7, 111, 36, 40, 4, 669, 18, 334, 259, 360, 19, 213, 25]","(212, 14944)"
José Ángel Carmona,Right-Back,1.84,Spain,"[-1, 62, 524, 9]","(129, 8449)"
Juanlu Sánchez,Right-Back,1.86,Spain,"[-1, 22, 1483, 12]","(185, 11752)"
Lucien Agoumé,Defensive Midfield,1.85,France,"[-1, 7, 84, 14, 562, 50, 444, 36]","(146, 9671)"
Nemanja Gudelj,Defensive Midfield,1.87,Serbia,"[-1, 127, 736, 5, 864, 3, 30, 3, 30, 9, 2623, 49, 61, 33, 277, 14]","(540, 41224)"
Albert Sambi Lokonga,Central Midfield,1.83,Belgium,"[-1, 244, 512, 16, 326, 8, 641, 70, 88, 46, 106, 21, 18, 25, 129, 28, 48, 20]","(175, 12862)"
Djibril Sow,Central Midfield,1.84,Switzerland,"[-1, 89, 420, 11, 210, 5, 84, 11, 116, 46, 98, 8, 18, 8, 59, 12, 213, 50, 203, 15, 410, 15, 220, 5, 91, 11, 341, 3, 262, 5, 111, 82, 68, 5, 11, 18, 65, 25, 122, 5]","(385, 28856)"
Saúl Ñíguez,Central Midfield,1.84,Spain,"[-1, 7, 265, 8, 10, 35, 358, 10, 184, 17, 820, 9, 3, 12, 615, 19, 1423, 57]","(583, 39768)"
Manu Bueno,Central Midfield,1.78,Spain,[-1],"(108, 7374)"
Stanis Idumbo,Attacking Midfield,1.71,Belgium,"[-1, 20, 181, 50, 85, 3, 316, 25]","(106, 6646)"
Rubén Vargas,Left Winger,1.79,Switzerland,"[-1, 92, 353, 8, 98, 15, 196, 8, 123, 11, 406, 5, 115, 8, 245, 12, 38, 5, 129, 5, 31, 15, 14, 82, 70, 4, 79, 26, 80, 19, 134, 21, 199, 24, 121, 50, 139, 51]","(274, 17261)"
Chidera Ejuke,Left Winger,1.76,Nigeria,"[-1, 101, 551, 81]","(265, 16935)"
Dodi Lukébakio,Right Winger,1.87,Belgium,"[-1, 21, 830, 15, 380, 20, 1, 6, 233, 13, 699, 83]","(278, 17398)"
